Wetlands name,State,ID,Species,Species normalized,Area,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Cooper Creek Swamps - Nappa Merrie,QLD,366,46,0.043269276,1063.11,-27.6,141.5830556,3.54E-08,8.6105,0.291963,101.894,1.00E+31,1.00E+31,1.379955604,0.248741375,644.5832702,0.420611827
Cooper Creek - Wilson River Junction,QLD,367,15,0.023464998,639.25,-27.83305556,142,1.02E-05,3.5406,0.210519,0.0702762,1.00E+31,1.00E+31,1.455988752,0.336465054,886.2383714,0.545845821
Diamantina Lakes Area,QLD,368,19,4.834605598,3.93,-23.68833333,141.1108333,-2.79E-10,10.8209,0.290922,5.31534,1.00E+31,1.00E+31,1.352749333,0.229644363,642.3891318,0.391873844
Diamantina Overflow Swamp - Durrie Station,QLD,369,5,0.017125634,291.96,-25.63305556,140.3997222,-8.45E-11,3.63083,0.197995,0.00173372,1.00E+31,1.00E+31,1.44041644,0.267461979,644.3924205,0.457421658
Georgina River - King Creek Floodout,QLD,370,18,0.013010763,1383.47,-24.25,139.6666667,-3.07E-11,8.55277,0.216745,1.07E-07,1.00E+31,1.00E+31,1.401854165,0.222079466,694.4582753,0.382450301
Lake Bullawarra,QLD,371,14,1.087801088,12.87,-27.90388889,143.5908333,5.09E-07,6.59384,0.280472,0.0223287,1.00E+31,1.00E+31,1.411095034,0.313165406,868.3054763,0.476543704
Lake Constance,QLD,372,7,0.380228137,18.41,-23.86472222,140.99,-1.48E-14,7.79405,0.258207,3.45E-08,1.00E+31,1.00E+31,1.381180369,0.238212295,708.4752687,0.411153156
Lake Cuddapan,QLD,373,4,0.234741784,17.04,-25.72555556,141.445,-8.92E-15,17.937,0.217791,1.15E-07,1.00E+31,1.00E+31,1.37375477,0.318478137,738.7688527,0.456235326
Lake Mipia Area,QLD,374,115,0.165014134,696.91,-24.87444444,139.605,2.05E-06,7.87313,0.204139,0.0327848,1.00E+31,1.00E+31,1.475345824,0.303889682,655.1314555,0.515485051
Lake Phillipi,QLD,375,9,0.055949273,160.86,-24.35555556,138.9863889,6.33E-16,5.3122,0.19903,3.00E-09,1.00E+31,1.00E+31,1.416647175,0.206425297,380.1547172,0.470278306
Lake Torquinie Area,QLD,376,14,0.091851463,152.42,-24.5,138.7166667,-4.21E-10,6.31471,0.212989,4.32906,1.00E+31,1.00E+31,1.348266444,0.182158686,359.3366473,0.340908647
Lake Yamma Yamma,QLD,377,14,0.016175995,865.48,-26.33305556,141.4330556,1.67E-05,3.55496,0.213076,0.219935,1.00E+31,1.00E+31,1.422453203,0.305424202,744.7629992,0.502197072
Moonda Lake - Shallow Lake Aggregation,QLD,378,10,0.067851812,147.38,-25.79444444,140.2888889,1.03E-14,12.8224,0.19799,0,1.00E+31,1.00E+31,1.434083701,0.339014124,719.4620082,0.474018204
Mulligan River - Wheeler Creek Junction,QLD,379,198,1.163747502,170.14,-23.91444444,138.6333333,-8.75E-13,9.71888,0.232535,4.70277,159.678,0.0273032,1.260012048,0.18259337,360.5279999,0.349689115
Muncoonie Lakes Area,QLD,380,96,0.108148298,887.67,-25,138.6777778,2.85E-12,9.98356,0.170745,6.01E-10,1.00E+31,1.00E+31,1.292719383,0.184361416,261.6626377,0.333247767
Nooyeah Downs Swamps Aggregation,QLD,381,2,0.032046146,62.41,-28,143.5,-4.40E-10,4.0184,0.328839,23.1636,1.00E+31,1.00E+31,1.436839924,0.288362761,880.8495568,0.498245411
Toko Gorge and Waterhole,QLD,382,25,10.28806584,2.43,-22.775,138.0261111,4.23E-06,52.2264,0.229925,0.146943,1.00E+31,1.00E+31,1.296024098,0.191758957,500.537871,0.365257752
Corio Bay Wetlands,QLD,383,182,2.634245187,69.09,-22.95861111,150.7530556,1.00E+31,1.44619,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Dismal Swamp—Water Park Creek,QLD,384,228,22.8,10,-22.75916667,150.6811111,0.000878537,36.2916,0.872519,4.18061,1.00E+31,1.00E+31,0.846830578,0.094551817,95.55037158,0.246559857
Eungella Dam,QLD,385,15,1.882057716,7.97,-21.16888889,148.4016667,5.73E-05,81.2957,0.808286,2.29519,64.0048,0.00104815,1.049402782,0.114887137,218.1946312,0.315940722
Proserpine—Goorganga Plain,QLD,386,197,1.169070085,168.51,-20.49611111,148.6680556,0.00187666,50.8542,0.861524,40.9789,232.91,0.522234,0.913235781,0.116098801,183.3758993,0.287635628
Archer Bay Aggregation,QLD,387,270,0.902677945,299.11,-13.34722222,141.6886111,0.00243777,4.67736,0.911488,11.5095,1.00E+31,1.00E+31,1.126006217,0.160090073,129.2524765,0.277470474
Archer River Aggregation,QLD,388,283,0.188967755,1497.61,-13.54944444,142.1719444,0.00106334,9.17841,1.11062,128.791,80.9152,0.000545783,0.904526076,0.124101525,110.406977,0.256858722
Cape Flattery Dune Lakes,QLD,389,329,0.74714993,440.34,-14.97638889,145.2091667,0.00244952,11.6239,0.495302,2.68658,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Cape Grenville Area,QLD,390,47,0.643483023,73.04,-11.98166667,143.1613889,0.00225332,10.6199,0.716385,2.41741,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Cape Melville—Bathurst Bay,QLD,391,140,2.554744526,54.8,-14.34916667,144.4455556,0.000409949,10.7351,0.970413,0.394908,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Harmer Creek - Shelburne Bay Aggregation,QLD,392,178,0.560612264,317.51,-11.97888889,143.0413889,0.00283922,5.95521,0.492665,5.45201,1.00E+31,1.00E+31,0.846819491,0.087533525,73.94223526,0.234829929
Jardine River Wetlands Aggregation,QLD,393,331,0.404942501,817.4,-11.03055556,142.2358333,0.00346293,2.74528,0.499982,3.56449,1.00E+31,1.00E+31,0.853648877,0.092038158,88.86567616,0.221973779
Marina Plains—Lakefield Aggregation,QLD,394,886,0.225828569,3923.33,-14.82722222,144.0761111,0.000360982,1.60298,0.968379,0.349537,109.006,0.00159876,1.090877514,0.149417359,162.2383543,0.262207674
Newcastle Bay - Escape River Estuarine Complex,QLD,395,222,0.524735859,423.07,-10.91916667,142.5816667,0.00322943,4.15078,0.460462,3.76362,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Northern Holroyd Plain Aggregation,QLD,396,306,0.027460595,11143.24,-14.47055556,141.9116667,0.00148864,2.81213,1.01884,5.19689,1.00E+31,1.00E+31,1.01723537,0.133896298,132.5094551,0.266932924
Olive River,QLD,397,227,1.289113521,176.09,-12.11888889,143.0355556,0.00192074,6.2666,0.737115,52.8127,51.8905,0.00108841,0.822025205,0.102783782,84.11090156,0.241945643
Orford Bay - Sharp Point Dunefield Aggregation,QLD,398,105,0.609084054,172.39,-11.20166667,142.7519444,0.00196052,11.5881,1.13006,4.9135,1.00E+31,1.00E+31,0.887861719,0.118503954,88.06286929,0.241182307
Silver Plains - Nesbitt River Aggregation,QLD,399,531,1.184369006,448.34,-13.74222222,143.5088889,0.00102156,1.88889,0.959405,1.04291,1.00E+31,1.00E+31,0.735007917,0.089647489,96.28649697,0.207221491
Skardon River - Cotterell River Aggregation,QLD,400,127,0.200968446,631.94,-11.62166667,142.0816667,0.00295684,3.4754,0.576586,70.0579,59.8245,0.00107574,0.983812164,0.12192398,92.43879333,0.250892698
Somerset Dunefield Aggregation,QLD,401,238,2.940086473,80.95,-10.83916667,142.4930556,0.00258461,17.3025,0.50527,11.688,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
The Jack Lakes Aggregation,QLD,402,155,0.44217493,350.54,-14.88722222,144.5025,0.000804773,1.91339,1.05869,0.809843,93.9622,0,0.806036652,0.097287001,89.85108666,0.232330452
Violet Vale,QLD,403,32,1.687763713,18.96,-14.72583333,143.6080556,0.000461355,4.95307,1.00644,0.448104,108.92,0.0125897,1.032297319,0.13716557,148.8971559,0.27766949
Aramac Springs,QLD,404,75,18.75,4,-22.73305556,145.4330556,8.18E-07,23.5251,0.480671,0.000445617,1.00E+31,1.00E+31,1.321414433,0.18277112,722.4612986,0.357670393
Cauckingburra Swamp,QLD,405,6,0.767263427,7.82,-21.48194444,145.8772222,1.76E-05,15.1853,0.521812,0.247357,1.00E+31,1.00E+31,1.240773351,0.167676591,507.815986,0.294712044
Doongmabulla Springs,QLD,406,94,23.55889724,3.99,-22.095,146.2430556,1.99E-05,15.9699,0.450694,2.36991,1.19619,0.628836,1.263995205,0.160912366,623.4877975,0.296703844
Lake Buchanan,QLD,407,66,0.284470497,232.01,-21.62388889,145.8716667,1.70E-05,2.39163,0.498756,2.76849,146.632,0.119176,1.269579593,0.160215558,559.9326307,0.322787681
Lake Galilee,QLD,408,70,0.271549383,257.78,-22.3325,145.8230556,8.52E-06,15.5641,0.44373,0.152682,1.00E+31,1.00E+31,1.355922468,0.152853374,669.1791341,0.385153793
Balonne River Floodplain,QLD,409,280,1.166666667,240,-28.19888889,148.5222222,9.80E-05,5.49691,0.56018,92.3353,32.6829,0.0272341,1.700405353,0.191106899,815.432888,0.532414254
Blencoe Falls—Blencoe Creek,QLD,410,25,28.73563218,0.87,-18.21111111,145.5366667,0.000856516,133.129,1.16991,26.1127,8.82393,0.101624,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Great Basalt Wall,QLD,411,380,0.379041026,1002.53,-19.93305556,145.5922222,1.81E-05,13.4345,0.625603,4.68383,10.8453,0.0891944,1.178493274,0.120549732,358.5486253,0.260336844
Herbert River Gorge,QLD,412,248,1.151560178,215.36,-18.31888889,145.6538889,0.000932826,152.873,1.25216,34.7313,10.1052,0.085349,0.947015031,0.104254653,232.2337538,0.313570701
Innot Hot Springs,QLD,413,8,10.25641026,0.78,-17.66777778,145.2383333,0.000127704,21.4447,0.993003,2.36111,1.38689,0.243249,0.88258058,0.071804897,131.2329478,0.194820303
Lake Lucy Wetlands,QLD,414,7,0.649350649,10.78,-18.55861111,145.2458333,2.30E-05,30.5625,0.695906,4.0887,19.2936,0.0472,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Laura Sandstone,QLD,415,6,0.550458716,10.9,-15.77083333,144.2527778,0.000337741,82.7055,0.943858,0.277102,114.989,0.0151537,1.049947169,0.119653819,149.7080267,0.23298935
Minnamoolka Area,QLD,416,27,4.584040747,5.89,-18.19944444,145.1144444,4.69E-05,22.741,0.782055,0.113619,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Poison Lake,QLD,417,1,0.127388535,7.85,-18.84166667,145.0861111,2.60E-05,49.3799,0.684741,0.0712155,1.00E+31,1.00E+31,1.180639068,0.119989219,335.8174303,0.233349948
Undara Lava Tubes,QLD,418,62,4.944178628,12.54,-18.24888889,144.5230556,0.00016675,36.1717,0.67636,0.306964,1.00E+31,1.00E+31,1.13184918,0.113717424,202.5496422,0.207725539
Valley of Lagoons,QLD,419,109,2.990397805,36.45,-18.66472222,145.0741667,1.07E-05,16.5672,0.683001,0.073006,1.00E+31,1.00E+31,1.158346014,0.118407395,314.3661795,0.248210309
Wairuna Lake,QLD,420,9,5.921052632,1.52,-18.43611111,145.3825,5.01E-05,33.3686,0.792821,2.61585,26.9672,0.0470374,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Walters Plains Lake,QLD,421,4,0.258397933,15.48,-18.35388889,145.2238889,5.38E-05,34.7615,0.784158,0.110382,1.00E+31,1.00E+31,0.749598761,0.081675909,154.4694455,0.183330216
Lawn Hill Gorge,QLD,422,216,19.06443071,11.33,-18.70222222,138.4816667,5.71E-05,38.6978,0.533534,2.82777,1.00E+31,1.00E+31,1.254140387,0.1555186,337.3632442,0.277048236
Bluebush Swamp,QLD,423,1,0.113765643,8.79,-18.15972222,138.9961111,5.40E-05,4.34965,0.674883,0.0569227,1.00E+31,1.00E+31,1.429470612,0.155354116,420.4341052,0.305253501
Buffalo Lake Aggregation,QLD,424,2,0.104766894,19.09,-17.88611111,140.3047222,0.000169325,2.85572,0.754762,0.159278,1.00E+31,1.00E+31,1.385468895,0.177821426,375.4737058,0.333708014
Dorunda Lakes Area,QLD,425,27,0.397000441,68.01,-16.55555556,141.9027778,0.000223307,1.49479,0.953322,0.242274,1.00E+31,1.00E+31,1.127354802,0.152010134,159.144426,0.269641293
Lignum Swamp,QLD,426,6,2.127659574,2.82,-20.10638889,141.0555556,1.45E-05,8.19318,0.464717,0.10641,1.00E+31,1.00E+31,1.30423846,0.171784716,489.0645396,0.334116314
Marless Lagoon Aggregation,QLD,427,122,0.073049955,1670.09,-17.52666667,138.935,0.000181833,1.31437,0.679617,0.192937,1.00E+31,1.00E+31,1.028918947,0.130570361,160.3843579,0.276303638
Mitchell River Fan Aggregation,QLD,428,449,0.062807217,7148.86,-15.78305556,142.1780556,0.000544454,2.36314,1.20361,225.403,7.40993,0.00218734,1.109957562,0.149040512,156.8444488,0.283705534
Musselbrook Creek Aggregation,QLD,429,76,0.168301703,451.57,-18.29222222,138.4911111,6.08E-05,13.2435,0.715069,5.79089,139.126,0.0308218,1.122620677,0.131620208,189.5626608,0.243319031
Nicholson Delta Aggregation,QLD,430,192,0.301697046,636.4,-17.67138889,139.4247222,0.000211793,2.09163,0.865576,47.3143,129.737,0.017458,1.398114201,0.201393217,340.9579622,0.337372479
Smithburne - Gilbert Fan Aggregation,QLD,431,184,0.073505912,2503.2,-17.11027778,141.4444444,0.000163049,1.78793,0.876217,0.248761,1.00E+31,1.00E+31,1.312962402,0.180184577,298.8487426,0.289345056
Wentworth Aggregation,QLD,432,351,0.425815844,824.3,-16.96472222,138.1516667,0.000583241,1.61093,0.805226,21.6662,115.015,0.00720577,0.988436817,0.12376886,140.5996264,0.242805105
Austral Limestone Aggregation,QLD,433,22,0.031702572,693.95,-21.50222222,138.5083333,1.05E-12,3.88737,0.314635,0,1.00E+31,1.00E+31,1.358079062,0.178000907,659.737204,0.379364126
Elizabeth Springs,QLD,434,49,12.25,4,-23.33305556,140.5830556,1.97E-19,25.4549,0.25952,6.42E-07,1.00E+31,1.00E+31,1.34694247,0.205712353,664.2013494,0.392434693
Gregory River,QLD,435,188,0.705732197,266.39,-18.8725,139.0738889,1.92E-05,9.26526,0.624813,5.16495,139.22,0.0504023,1.24273887,0.144041856,363.7613549,0.284203825
Thorntonia Aggregation,QLD,436,354,0.118439014,2988.88,-19.08888889,138.4597222,0.000122018,25.5345,0.364684,2.5753,143.916,0.094668,1.333522388,0.17063725,543.0718546,0.326794498
Lake Numalla Aggregation,QLD,437,18,0.167847818,107.24,-28.74305556,144.3605556,1.04E-05,6.63849,0.230739,0.419531,1.00E+31,1.00E+31,1.429738488,0.336301035,805.5033696,0.479778672
Lake Wyara,QLD,438,49,0.813953488,60.2,-28.69944444,144.2277778,-5.35E-13,8.63914,0.292027,2.63588,1.00E+31,1.00E+31,1.359678314,0.247602254,867.8433777,0.453434324
Lakes Bindegolly and Toomaroo,QLD,439,170,1.756742792,96.77,-28.03388889,144.2077778,8.39E-06,6.07663,0.313877,4.00918,1.00E+31,1.00E+31,1.358493491,0.239716509,779.555853,0.423767407
Carbrook Wetlands Aggregation,QLD,440,19,5.775075988,3.29,-27.68111111,153.2538889,8.11E-05,6.96168,1.09985,17.0292,225.738,6.98501,1.140618387,0.084428009,122.6591364,0.467441102
Conondale Range Aggregation,QLD,441,555,27.98789713,19.83,-26.71027778,152.6066667,0.000133085,272.706,1.18044,0.200245,1.00E+31,1.00E+31,1.266039327,0.107303044,345.5040417,0.393692485
Fraser Island,QLD,442,16,0.009798278,1632.94,-25.23694444,153.1236111,0.000108365,74.1181,1.25524,0.106018,1.00E+31,1.00E+31,1.079288566,0.112489714,237.1738438,0.407216118
Lake Weyba,QLD,443,575,20.1048951,28.6,-26.44111111,153.0780556,0.0013905,13.1163,0.952753,1.21608,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Moreton Bay,QLD,444,1641,0.54667746,3001.77,-27.33361111,153.2930556,1.00E+31,0.0617719,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Noosa River Wetlands,QLD,445,929,9.341377577,99.45,-26.27,153.02,0.000450196,4.18396,1.27564,2.11866,83.4682,0.572015,0.976523089,0.080785263,141.9520812,0.393802742
Alexandra Palm Forest,QLD,446,17,11.64383562,1.46,-17.28027778,145.9463889,0.00531832,70.2474,0.866856,5.38378,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Birthday Creek,QLD,447,14,32.55813953,0.43,-18.98833333,146.1722222,0.00146981,260.069,1.01824,2.08571,103.697,0.000545322,0.826871017,0.089585567,203.2302759,0.207912178
Bambaroo Coastal Aggregation,QLD,448,6,0.111940299,53.6,-18.86722222,146.2541667,1.00E+31,1.70308,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Bromfield Swamp,QLD,449,25,39.68253968,0.63,-17.37888889,145.5408333,0.00170035,26.0963,1.42146,3.90128,17.1593,0.150982,0.991672847,0.075329099,173.2854857,0.355739565
Cowley Area,QLD,450,108,1.294343241,83.44,-17.65527778,146.1027778,0.00551256,7.89131,0.765169,6.2607,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Edmund Kennedy Wetlands,QLD,451,818,7.380673103,110.83,-18.07583333,146.0063889,0.00145894,2.12125,1.50608,102.252,18.0943,0.055871,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Ella Bay Swamp,QLD,452,4,0.30418251,13.15,-17.42083333,146.0527778,0.00840278,31.1091,0.683155,22.9872,12.3578,0.105788,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Eubenangee—Alice River,QLD,453,131,6.579608237,19.91,-17.42972222,145.9769444,0.00428212,17.7041,1.20691,4.47214,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Herbert River Floodplain,QLD,454,317,0.712423589,444.96,-18.75416667,146.2411111,0.00207896,2.8561,0.902145,4.88247,1.00E+31,1.00E+31,1.250123291,0.09935731,119.8725072,0.501977455
Hilda Creek Headwater,QLD,455,3,60,0.05,-16.16388889,145.3677778,0.002505,239.915,1.28579,2.58064,139.068,0.0276277,0.718828305,0.067671542,90.31360451,0.232460878
Innisfail Area,QLD,456,270,22.13114754,12.2,-17.57055556,146.0638889,0.00382024,7.18927,1.21068,167.227,18.5632,0.0792663,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Kurrimine Area,QLD,457,47,6.233421751,7.54,-17.78777778,146.0852778,1.00E+31,2.68809,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Barrine,QLD,458,109,110.1010101,0.99,-17.25083333,145.6355556,0.00220392,25.1952,1.28764,32.5725,14.3331,0.00210385,0.940799019,0.088305946,112.3187336,0.359095326
Lake Eacham,QLD,459,65,151.1627907,0.43,-17.28583333,145.6247222,0.00220392,25.1952,1.28764,32.5725,14.3331,0.00210385,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Licuala Palm Forest,QLD,460,69,29.74137931,2.32,-17.91416667,146.0708333,0.00546454,37.1297,0.956381,5.69965,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lower Daintree River,QLD,461,298,5.648218347,52.76,-16.28694444,145.42,0.00169787,13.8867,1.67138,73.7863,117.568,0.0583892,0.863688738,0.07227513,140.2312421,0.2700003
Missionary Bay,QLD,462,139,12.31178034,11.29,-18.27194444,146.235,0.00149613,57.9432,1.44334,1.61018,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Nandroya Falls,QLD,463,1,5.263157895,0.19,-17.59583333,145.7625,0.00242622,113.045,1.05026,22.8882,8.7497,0.00831057,0.795686474,0.096069677,97.19166381,0.244662083
Russell River,QLD,464,109,4.585612116,23.77,-17.23222222,145.9486111,0.00446819,27.5481,0.875641,62.1156,5.26309,0.20654,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Russell River Rapids,QLD,465,26,11.06382979,2.35,-17.45722222,145.8227778,0.00432345,132.229,0.882658,5.21903,3.92778,0.00813306,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Sunday Creek Broad-leaved Paperbark Site,QLD,466,12,30.76923077,0.39,-18.5,146.1833333,0.00141308,23.8849,1.29984,1.41777,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Tully River - Murray River Floodplains,QLD,467,474,1.210604281,391.54,-18.01916667,145.8713889,0.000905098,3.07349,1.36042,5.34449,24.5043,0.12116,1.00E+31,1.00E+31,1.00E+31,1.00E+31
West Mulgrave Falls,QLD,468,8,114.2857143,0.07,-17.36111111,145.7855556,0.00473727,224.49,0.849028,5.36097,3.97212,0.00472605,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Wyvuri Swamp,QLD,469,199,13.33780161,14.92,-17.345,145.9986111,0.00496629,10.9656,1.03563,8.69459,9.10848,0.650973,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Yuccabine Creek,QLD,470,3,0.56710775,5.29,-18.19277778,145.7761111,0.0012249,206.517,1.0953,1.82845,17.5549,0.00161024,0.884825912,0.075525292,129.9736618,0.267004971
Zillie Falls,QLD,471,29,181.25,0.16,-17.47666667,145.6547222,0.00325891,37.6659,0.882633,18.9615,10.8266,0.0928614,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Wyandra-Cunnamulla Claypans Aggregation,QLD,472,10,0.033333333,300,-27.5,146.5,4.29E-06,9.15516,0.426281,0.00312459,1.00E+31,1.00E+31,1.345110452,0.283705265,727.3041424,0.437109381
Quilpie (Bulloo River Floodplain) Waterholes,QLD,473,3,10,0.3,-26.5,144.3,5.66E-13,4.61995,0.374127,16.6356,1.00E+31,1.00E+31,1.376240683,0.256962382,838.1580934,0.451505485
Lake Dartmouth Area,QLD,474,20,0.2,100,-26.05,145.3333333,1.20E-05,9.61693,0.429117,0.638998,1.00E+31,1.00E+31,1.30353355,0.166256203,719.4086937,0.378387954
Warrego River Distributary System,QLD,475,42,0.35,120,-28.56666667,145.7166667,-1.93E-11,4.16643,0.424743,47.4199,1.00E+31,1.00E+31,1.36410554,0.206288547,803.928717,0.408944022
Warrego River Waterholes (Charleville-Wyandra,QLD,476,4,0.8,5,-27,145.95,2.45E-05,4.86816,0.434011,41.8888,22.6874,0.0517633,1.366722617,0.217107461,792.7201251,0.399811105
"""Myola""-""Mulga Downs"" Salt Lake and Claypans",QLD,477,11,0.1375,80,-28.76666667,146.95,9.30E-07,8.95251,0.319321,0.164828,1.00E+31,1.00E+31,1.367769533,0.232466595,729.8818154,0.439338722
“Murrawondah” Lakes,QLD,478,11,0.44,25,-28.08333333,146.0666667,4.07E-06,8.53122,0.323758,0.10667,1.00E+31,1.00E+31,1.337574905,0.197409368,777.0183435,0.404816454
"Paroo River Waterholes (""Caiwarro"" Area)",QLD,479,144,576,0.25,-28.7,144.7666667,1.09E-06,5.30537,0.227327,0.161921,1.00E+31,1.00E+31,1.433590747,0.333972857,903.0331879,0.513594123
Eulo Artesian Springs Supergroup,QLD,480,9,30,0.3,-28.23333333,144.8,8.18E-06,11.3759,0.245892,0.233623,1.00E+31,1.00E+31,1.442729654,0.318422761,885.3122014,0.504480815
Greenbank Army Training Area,QLD,481,273,5.852090032,46.65,-27.670943,152.97422,7.81E-06,23.6045,0.805248,0.0512329,1.00E+31,1.00E+31,1.428623656,0.135170554,351.4885267,0.55318729
RAAF Townsville,QLD,482,442,147.3333333,3,-192.46687,146.757314,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
